,OFF_RATING,PACE,PPP,WINS
233,-1.8920988792199225,1.3052618740483701,0.996,20.0
234,0.788153390081795,-0.7590208951278917,1.089,41.0
235,1.6108050766991515,0.2572413912358028,1.121,54.0
236,-0.6183156225220746,0.8606471237642503,1.039,22.0
237,0.3370218200013075,-0.8860536809233558,1.076,43.0
238,0.8677648436254095,-1.552975806349531,1.098,59.0
239,-0.6979270760656929,-0.21913155549718072,1.037,32.0
240,0.39245171815000307,-0.7100647584464569,1.083,47.0
241,0.9028658024491325,-0.47524019266101275,1.095,62.0
242,1.4473074923682068,-0.9784356907726767,1.112,66.0
243,0.2563412956702381,-1.380992089262009,1.076,49.0
244,-0.1179623661491264,0.5646971701030908,1.072,41.0
245,0.9028658024491325,-0.07268379417168067,1.09,50.0
246,0.6987001687294827,0.967253568592423,1.09,54.0
247,0.39245171815000307,2.3091082302235266,1.08,29.0
248,-0.015879549289296642,-0.47524019266101275,1.071,53.0
249,-2.0235082808658746,0.1621407716137587,1.01,19.0
250,1.481335097988147,0.9337072020516473,1.114,65.0
251,-0.1179623661491264,-0.609425658824125,1.068,43.0
252,-0.560321239208371,0.3634189708584271,1.052,34.0
253,-0.9686525066476755,-0.005591061090129281,1.049,24.0
254,-0.015879549289296642,-0.609425658824125,1.068,34.0
255,-0.04990715490924151,1.638180899407975,1.07,32.0
256,0.5966173518696578,0.1621407716137587,1.083,59.0
257,-0.015879549289296642,1.6046345328671991,1.072,36.0
258,-0.2540727886288914,-0.5087865592017933,1.063,41.0
259,1.9577215766673364,1.4369027001633112,1.124,46.0
260,1.7875835485676266,-1.6493630215882287,1.121,54.0
261,-0.9686525066476755,0.9001608355108668,1.044,17.0
262,0.2563412956702381,-1.2468066230988966,1.076,54.0
263,-1.8873978583861046,0.6653362697254227,1.014,23.0
264,-0.39018321110866117,0.09504803853220732,1.055,33.0
265,0.5625897462497129,0.4976044370215347,1.085,48.0
266,-1.547121802186685,-0.542332925742569,1.023,24.0
267,-1.0707353235075006,-0.24041562687556864,1.04,19.0
268,-0.32212799986877627,-1.6829093881290091,1.058,39.0
269,-1.3089285628470952,-1.1126211569357891,1.037,35.0
270,1.175724978361727,-1.0494404876679457,1.11,53.0
271,0.1469656222952122,-0.5233713486056063,1.069,50.0
272,1.1463318539026812,-0.644771919158453,1.106,61.0
273,0.058786248918079036,-0.11870278009611344,1.065,37.0
274,-1.2051181028207811,0.1645652178605327,1.026,41.0
275,0.6466487380989446,-0.11870278009611344,1.078,55.0
276,1.1169387294436395,0.8929686411776186,1.108,53.0
277,0.1469656222952122,3.078178911128882,1.07,26.0
278,-0.11757249783617896,0.5692337863700255,1.068,42.0
279,-1.1757249783617354,-0.037769066394213735,1.023,29.0
280,0.29393124459042863,0.04316464730768598,1.076,57.0
